detuning_ghz,fluence_mw_us,mode,minimum_snr,initial_snr,final_depletion_accepted_snr,depletion_limited_frames,usable_frames,stopping_reason,post_sequence_loss,next_pulse_loss,n_gamma,reabsorption_fraction
0.84375,30,Faraday dark-field,9,6.37705050786,4.54017064428,9,0,image quality,0.280729805343,0.311504197789,0.00627999712103,0.0867489724436
0.84375,30,Faraday dual-port,9,15.8467905295,12.7929441748,9,9,depletion,0.280729805343,0.311504197789,0.00627999712103,0.0867489724436
0.84375,35,Faraday dark-field,9,7.14764062517,5.0889480116,8,0,image quality,0.290996838951,0.326861498247,0.00732666330787,0.0867489724436
0.84375,35,Faraday dual-port,9,17.1784087708,13.7959855739,8,8,depletion,0.290996838951,0.326861498247,0.00732666330787,0.0867489724436
0.84375,40,Faraday dark-field,9,7.87123176818,5.69217487435,7,0,image quality,0.290996838951,0.331976201142,0.00837332949471,0.0867489724436
0.84375,40,Faraday dual-port,9,18.4146110127,14.8655217853,7,7,depletion,0.290996838951,0.331976201142,0.00837332949471,0.0867489724436
0.84375,45,Faraday dark-field,9,8.55453907121,6.3739463488,6,0,image quality,0.280729805343,0.326861498247,0.00941999568155,0.0867489724436
0.84375,45,Faraday dual-port,9,19.573293265,16.0456630908,6,6,depletion,0.280729805343,0.326861498247,0.00941999568155,0.0867489724436
0.84375,50,Faraday dark-field,9,9.2029035768,7.1542564292,5,1,image quality,0.260168835348,0.311504197789,0.0104666618684,0.0867489724436
0.84375,50,Faraday dual-port,9,20.6673869446,17.3704747211,5,5,depletion,0.260168835348,0.311504197789,0.0104666618684,0.0867489724436
0.84375,55,Faraday dark-field,9,9.82064396918,7.4454071862,5,2,image quality,0.285864439026,0.342199039282,0.0115133280552,0.0867489724436
0.84375,55,Faraday dual-port,9,21.7065925801,17.8845028004,5,5,depletion,0.285864439026,0.342199039282,0.0115133280552,0.0867489724436
0.84375,60,Faraday dark-field,9,10.4113027011,8.38644677484,4,3,image quality,0.249874820279,0.311504197789,0.0125599942421,0.0867489724436
0.84375,60,Faraday dual-port,9,22.6984062453,19.4500511821,4,4,depletion,0.249874820279,0.311504197789,0.0125599942421,0.0867489724436
0.84375,65,Faraday dark-field,9,10.977822329,8.68871045038,4,3,image quality,0.270453817204,0.337088713259,0.0136066604289,0.0867489724436
0.84375,65,Faraday dual-port,9,23.6487618923,19.9732328288,4,4,depletion,0.270453817204,0.337088713259,0.0136066604289,0.0867489724436
0.84375,70,Faraday dark-field,9,11.5226744876,8.95870164318,4,3,image quality,0.290996838951,0.36261857549,0.0146533266157,0.0867489724436
0.84375,70,Faraday dual-port,9,24.5624516868,20.440835996,4,4,depletion,0.290996838951,0.36261857549,0.0146533266157,0.0867489724436
0.84375,75,Faraday dark-field,9,12.0479559661,10.1668092538,3,3,depletion,0.234416773234,0.311504197789,0.0156999928026,0.0867489724436
0.84375,75,Faraday dual-port,9,25.4434113904,22.4233304701,3,3,depletion,0.234416773234,0.311504197789,0.0156999928026,0.0867489724436
0.84375,80,Faraday dark-field,9,12.5554614547,10.4816469271,3,3,depletion,0.249874820279,0.331976201142,0.0167466589894,0.0867489724436
0.84375,80,Faraday dual-port,9,26.2949201952,22.9606039612,3,3,depletion,0.249874820279,0.331976201142,0.0167466589894,0.0867489724436
0.84375,85,Faraday dark-field,9,13.0467394386,10.7742761763,3,3,depletion,0.265312452952,0.352413151694,0.0177933251763,0.0867489724436
0.84375,85,Faraday dual-port,9,27.1197443831,23.4600413381,3,3,depletion,0.265312452952,0.352413151694,0.0177933251763,0.0867489724436
0.84375,90,Faraday dark-field,9,13.5231357133,11.0461692681,3,3,depletion,0.280729805343,0.3728153475,0.0188399913631,0.0867489724436
0.84375,90,Faraday dual-port,9,27.9202429684,23.9242576615,3,3,depletion,0.280729805343,0.3728153475,0.0188399913631,0.0867489724436
0.84375,95,Faraday dark-field,9,13.9858276705,11.2983671923,3,3,depletion,0.296127009968,0.393183082081,0.0198866575499,0.0867489724436
