fluence_mw_us,image_number,snr_3x3,condensate_atoms,condensate_fraction,temperature_k,pre_exposure_loss,post_exposure_loss,status,counted_as_usable
50,23,8.60658068316,16448.8995448,0.657955981793,2.06067168433e-07,0.342044018207,0.357355086757,both_limits,False
50,24,8.45133004931,16066.1228311,0.642644913243,2.06330501355e-07,0.357355086757,0.372646663986,both_limits,False
50,25,8.29536049078,15683.8334003,0.627353336014,2.06592829871e-07,0.372646663986,0.387918873332,both_limits,False
90,1,16.0603399285,25000,1,2e-07,8.881784197e-16,0.0283773874608,usable,True
90,2,15.7089325738,24290.5653135,0.971622612539,2.00517441699e-07,0.0283773874608,0.0566819213614,usable,True
90,3,15.3560705618,23582.951966,0.943318078639,2.01030908303e-07,0.0566819213614,0.0849145273981,usable,True
90,4,15.0023281248,22877.136815,0.915085472602,2.01540470344e-07,0.0849145273981,0.113076110308,usable,True
90,5,14.6472141147,22173.0972423,0.886923889692,2.02046196409e-07,0.113076110308,0.141167554548,usable,True
90,6,14.28950299,21470.8111363,0.858832445452,2.02548153207e-07,0.141167554548,0.169189724945,usable,True
90,7,13.9291397844,20770.2568764,0.830810275055,2.03046405646e-07,0.169189724945,0.197143467318,usable,True
90,8,13.5660688856,20071.413317,0.802856532682,2.03541016893e-07,0.197143467318,0.225029609077,usable,True
90,9,13.200235829,19374.2597731,0.774970390923,2.04032048436e-07,0.225029609077,0.252848959795,usable,True
90,10,12.8315980123,18678.7760051,0.747151040205,2.04519560151e-07,0.252848959795,0.280602311761,usable,True
90,11,12.4601580008,17984.942206,0.719397688239,2.05003610354e-07,0.280602311761,0.308290440502,depletion_limited,False
90,12,12.0860498204,17292.7389875,0.691709559498,2.05484255855e-07,0.308290440502,0.335914105298,depletion_limited,False
90,13,11.7097397143,16602.1473676,0.664085894702,2.05961552014e-07,0.335914105298,0.363474049663,depletion_limited,False
90,14,11.3320663915,15913.1487584,0.636525950337,2.0643555279e-07,0.363474049663,0.390971001818,depletion_limited,False
90,15,10.9510218142,15225.7249545,0.609028998182,2.06906310787e-07,0.390971001818,0.418405675138,depletion_limited,False
90,16,10.5658452241,14539.8581216,0.581594324862,2.07373877302e-07,0.418405675138,0.445778768586,depletion_limited,False
90,17,10.1764036723,13855.5307853,0.554221231414,2.0783830237e-07,0.445778768586,0.473090967132,depletion_limited,False
90,18,9.7825788402,13172.7258217,0.526909032868,2.082996348e-07,0.473090967132,0.500342942151,depletion_limited,False
90,19,9.38434116907,12491.4264462,0.499657057849,2.08757922224e-07,0.500342942151,0.527535351811,depletion_limited,False
90,20,8.9819891371,11811.6162047,0.472464648189,2.0921321113e-07,0.527535351811,0.554668841445,both_limits,False
90,21,8.57680668167,11133.2789639,0.445331158555,2.09665546899e-07,0.554668841445,0.58174404391,both_limits,False
90,22,8.1674937318,10456.3989023,0.41825595609,2.10114973843e-07,0.58174404391,0.608761579929,both_limits,False
90,23,7.75153168645,9780.96050178,0.391238420071,2.10561535238e-07,0.608761579929,0.63572205843,both_limits,False
90,24,7.32861419048,9106.94853926,0.36427794157,2.11005273357e-07,0.63572205843,0.662626076861,both_limits,False
90,25,6.89859555983,8434.34807847,0.337373923139,2.11446229501e-07,0.662626076861,0.689474221506,both_limits,False
150,1,20.8054608606,25000,1,2e-07,8.881784197e-16,0.0472551139882,usable,True
150,2,20.0456406261,23818.6221503,0.952744886012,2.00860190051e-07,0.0472551139882,0.0943095690721,usable,True
150,3,19.281843195,22642.2607732,0.905690430928,2.01709468586e-07,0.0943095690721,0.141167554548,usable,True
150,4,18.5113700017,21470.8111363,0.858832445452,2.02548153207e-07,0.141167554548,0.187833104861,usable,True
150,5,17.7313544644,20304.1723785,0.812166895139,2.03376547225e-07,0.187833104861,0.234310107734,usable,True
150,6,16.9414677028,19142.2473066,0.765689892266,2.04194940522e-07,0.234310107734,0.280602311761,usable,True
150,7,16.1414984099,17984.942206,0.719397688239,2.05003610354e-07,0.280602311761,0.326713333478,depletion_limited,False
150,8,15.3321014689,16832.1666631,0.673286666522,2.05802822084e-07,0.326713333478,0.372646663986,depletion_limited,False
150,9,14.5161313331,15683.8334003,0.627353336014,2.06592829871e-07,0.372646663986,0.418405675138,depletion_limited,False
150,10,13.6874778392,14539.8581216,0.581594324862,2.07373877302e-07,0.418405675138,0.463993625332,depletion_limited,False
150,11,12.8434853692,13400.1593667,0.536006374668,2.08146197986e-07,0.463993625332,0.509413664949,depletion_limited,False
150,12,11.9836911213,12264.6583763,0.490586335051,2.08910016098e-07,0.509413664949,0.554668841445,depletion_limited,False
150,13,11.1107591899,11133.2789639,0.445331158555,2.09665546899e-07,0.554668841445,0.599762104145,depletion_limited,False
150,14,10.222255655,10005.9473964,0.400237895855,2.10412997204e-07,0.599762104145,0.644696308735,depletion_limited,False
150,15,9.30911029861,8882.59228162,0.355303691265,2.11152565834e-07,0.644696308735,0.689474221506,depletion_limited,False
