detuning_ghz,fluence_mw_us,mode,minimum_snr,initial_snr,final_depletion_accepted_snr,depletion_limited_frames,usable_frames,stopping_reason,post_sequence_loss,next_pulse_loss,n_gamma,reabsorption_fraction,kappa_F,numerical_aperture,read_noise_electrons_per_pixel_per_port
0.75,260,Faraday dual-port,8,nan,nan,0,0,depletion,0,0.347340222963,0.0688780875979,0.106555208868,-0.494505494505,0.13,0.7
0.75,265,Faraday dark-field,8,nan,nan,0,0,depletion,0,0.353919279142,0.0702026662055,0.106555208868,-0.494505494505,0.13,0.7
0.75,265,Faraday dual-port,8,nan,nan,0,0,depletion,0,0.353919279142,0.0702026662055,0.106555208868,-0.494505494505,0.13,0.7
0.75,270,Faraday dark-field,8,nan,nan,0,0,depletion,0,0.360494730829,0.0715272448132,0.106555208868,-0.494505494505,0.13,0.7
0.75,270,Faraday dual-port,8,nan,nan,0,0,depletion,0,0.360494730829,0.0715272448132,0.106555208868,-0.494505494505,0.13,0.7
0.75,275,Faraday dark-field,8,nan,nan,0,0,depletion,0,0.367066587875,0.0728518234208,0.106555208868,-0.494505494505,0.13,0.7
0.75,275,Faraday dual-port,8,nan,nan,0,0,depletion,0,0.367066587875,0.0728518234208,0.106555208868,-0.494505494505,0.13,0.7
0.75,280,Faraday dark-field,8,nan,nan,0,0,depletion,0,0.373634860085,0.0741764020285,0.106555208868,-0.494505494505,0.13,0.7
0.75,280,Faraday dual-port,8,nan,nan,0,0,depletion,0,0.373634860085,0.0741764020285,0.106555208868,-0.494505494505,0.13,0.7
0.75,285,Faraday dark-field,8,nan,nan,0,0,depletion,0,0.380199557216,0.0755009806361,0.106555208868,-0.494505494505,0.13,0.7
0.75,285,Faraday dual-port,8,nan,nan,0,0,depletion,0,0.380199557216,0.0755009806361,0.106555208868,-0.494505494505,0.13,0.7
0.75,290,Faraday dark-field,8,nan,nan,0,0,depletion,0,0.386760688974,0.0768255592438,0.106555208868,-0.494505494505,0.13,0.7
0.75,290,Faraday dual-port,8,nan,nan,0,0,depletion,0,0.386760688974,0.0768255592438,0.106555208868,-0.494505494505,0.13,0.7
0.75,295,Faraday dark-field,8,nan,nan,0,0,depletion,0,0.393318265022,0.0781501378514,0.106555208868,-0.494505494505,0.13,0.7
0.75,295,Faraday dual-port,8,nan,nan,0,0,depletion,0,0.393318265022,0.0781501378514,0.106555208868,-0.494505494505,0.13,0.7
0.75,300,Faraday dark-field,8,nan,nan,0,0,depletion,0,0.399872294973,0.0794747164591,0.106555208868,-0.494505494505,0.13,0.7
0.75,300,Faraday dual-port,8,nan,nan,0,0,depletion,0,0.399872294973,0.0794747164591,0.106555208868,-0.494505494505,0.13,0.7
0.84375,90,Faraday dark-field,8,7.54054760268,6.30132962205,3,0,image quality,0.280729805343,0.3728153475,0.0188399913631,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,90,Faraday dual-port,8,14.798630227,12.6713149002,3,3,depletion,0.280729805343,0.3728153475,0.0188399913631,0.0867489724436,-0.494505494505,0.13,0.7
