position_um,pci_intensity_y_line_incident_i0,pci_intensity_z_line_incident_i0,pci_signal_y_line_minus_plate_background,pci_signal_z_line_minus_plate_background
-23.046875,0.907834124382,0.90294587378,0.00533412438197,0.00044587378024
-22.94921875,0.908336534173,0.903855170474,0.00583653417305,0.00135517047373
-22.8515625,0.908863463012,0.904751858896,0.00636346301242,0.00225185889646
-22.75390625,0.909414974966,0.905622971338,0.00691497496569,0.00312297133788
-22.65625,0.909991086493,0.90645579553,0.00749108649257,0.00395579553047
-22.55859375,0.910591767622,0.907238060078,0.00809176762177,0.00473806007751
-22.4609375,0.911216943384,0.90795811583,0.00871694338407,0.00545811582958
-22.36328125,0.911866495487,0.908605110426,0.00936649548712,0.00610511042594
-22.265625,0.912540264214,0.909169153251,0.0100402642139,0.00666915325125
-22.16796875,0.913238050525,0.909641468144,0.0107380505249,0.00714146814357
-22.0703125,0.913959618343,0.910014531328,0.011459618343,0.00751453132804
-21.97265625,0.914704696998,0.910282192241,0.0122046969981,0.00778219224081
-21.875,0.915472983809,0.910439775148,0.0129729838087,0.00793977514838
-21.77734375,0.916264146775,0.910484159754,0.0137641467751,0.0079841597538
-21.6796875,0.917077827361,0.91041383931,0.0145778273613,0.00791383930956
-21.58203125,0.917913643339,0.910228955119,0.0154136433387,0.00772895511868
-21.484375,0.918771191667,0.909931306695,0.0162711916671,0.00743130669476
-21.38671875,0.919650051389,0.909524337258,0.0171500513895,0.00702433725835
-21.2890625,0.920549786514,0.909013094662,0.0180497865143,0.00651309466198
-21.19140625,0.921469948862,0.90840416825,0.0189699488625,0.00590416825008
-21.09375,0.922410080857,0.907705602563,0.0199100808568,0.00520560256285
-20.99609375,0.923369718231,0.906926789176,0.0208697182309,0.00442678917552
-20.8984375,0.924348392638,0.906078338318,0.0218483926383,0.00357833831849
-20.80078125,0.925345634142,0.905171932241,0.0228456341422,0.00267193224146
-20.703125,0.926360973569,0.90422016256,0.0238609735694,0.00172016256016
-20.60546875,0.927393944711,0.903236354053,0.0248939447112,0.000736354052656
-20.5078125,0.92844408636,0.902234377551,0.0259440863599,-0.00026562244893
-20.41015625,0.929510944168,0.901228454702,0.0270109441677,-0.00127154529842
-20.3125,0.930594072319,0.900232957442,0.0280940723187,-0.00226704255816
-20.21484375,0.931693035008,0.899262205072,0.0291930350075,-0.00323779492806
-20.1171875,0.932807407718,0.898330261775,0.030307407718,-0.00416973822473
