detuning_ghz,fluence_mw_us,mode,central_block_snr,phase_peak_rad,photoelectrons_per_incident_I0_pixel,read_noise_e_per_pixel_per_port,kappa_F
1.5,155,Faraday dark-field,9.21007320204,0.202941652879,1781.32625627,3,1
1.5,156,Faraday dark-field,9.25083389317,0.202941652879,1792.81868373,3,1
1.5,157,Faraday dark-field,9.29146831266,0.202941652879,1804.31111119,3,1
1.5,158,Faraday dark-field,9.33197748385,0.202941652879,1815.80353865,3,1
1.5,159,Faraday dark-field,9.37236241724,0.202941652879,1827.29596611,3,1
1.5,160,Faraday dark-field,9.41262411074,0.202941652879,1838.78839357,3,1
1.5,161,Faraday dark-field,9.45276354981,0.202941652879,1850.28082103,3,1
1.5,162,Faraday dark-field,9.49278170776,0.202941652879,1861.77324849,3,1
1.5,163,Faraday dark-field,9.53267954586,0.202941652879,1873.26567595,3,1
1.5,164,Faraday dark-field,9.5724580136,0.202941652879,1884.75810341,3,1
1.5,165,Faraday dark-field,9.61211804886,0.202941652879,1896.25053087,3,1
1.5,166,Faraday dark-field,9.6516605781,0.202941652879,1907.74295833,3,1
1.5,167,Faraday dark-field,9.69108651656,0.202941652879,1919.23538579,3,1
1.5,168,Faraday dark-field,9.7303967684,0.202941652879,1930.72781325,3,1
1.5,169,Faraday dark-field,9.76959222693,0.202941652879,1942.22024071,3,1
1.5,170,Faraday dark-field,9.80867377477,0.202941652879,1953.71266817,3,1
1.5,171,Faraday dark-field,9.84764228399,0.202941652879,1965.20509563,3,1
1.5,172,Faraday dark-field,9.88649861633,0.202941652879,1976.69752309,3,1
1.5,173,Faraday dark-field,9.92524362332,0.202941652879,1988.18995055,3,1
1.5,174,Faraday dark-field,9.96387814644,0.202941652879,1999.68237801,3,1
1.5,175,Faraday dark-field,10.0024030173,0.202941652879,2011.17480546,3,1
1.5,176,Faraday dark-field,10.0408190579,0.202941652879,2022.66723292,3,1
1.5,177,Faraday dark-field,10.0791270805,0.202941652879,2034.15966038,3,1
1.5,178,Faraday dark-field,10.117327888,0.202941652879,2045.65208784,3,1
1.5,179,Faraday dark-field,10.155422274,0.202941652879,2057.1445153,3,1
1.5,180,Faraday dark-field,10.1934110232,0.202941652879,2068.63694276,3,1
1.5,10,Faraday dual-port,5.01943074058,0.202941652879,114.924274598,3,1
1.5,11,Faraday dual-port,5.29727298966,0.202941652879,126.416702058,3,1
1.5,12,Faraday dual-port,5.56190907436,0.202941652879,137.909129518,3,1
1.5,13,Faraday dual-port,5.81501276263,0.202941652879,149.401556977,3,1
1.5,14,Faraday dual-port,6.05793733071,0.202941652879,160.893984437,3,1
1.5,15,Faraday dual-port,6.29179444884,0.202941652879,172.386411897,3,1
1.5,16,Faraday dual-port,6.51750993329,0.202941652879,183.878839357,3,1
1.5,17,Faraday dual-port,6.7358641022,0.202941652879,195.371266817,3,1
1.5,18,Faraday dual-port,6.94752160256,0.202941652879,206.863694276,3,1
1.5,19,Faraday dual-port,7.15305386396,0.202941652879,218.356121736,3,1
1.5,20,Faraday dual-port,7.35295627918,0.202941652879,229.848549196,3,1
1.5,21,Faraday dual-port,7.54766154257,0.202941652879,241.340976656,3,1
1.5,22,Faraday dual-port,7.73755014169,0.202941652879,252.833404116,3,1
1.5,23,Faraday dual-port,7.92295870757,0.202941652879,264.325831575,3,1
1.5,24,Faraday dual-port,8.1041867323,0.202941652879,275.818259035,3,1
1.5,25,Faraday dual-port,8.28150202609,0.202941652879,287.310686495,3,1
1.5,26,Faraday dual-port,8.45514519018,0.202941652879,298.803113955,3,1
1.5,27,Faraday dual-port,8.62533331323,0.202941652879,310.295541415,3,1
1.5,28,Faraday dual-port,8.7922630492,0.202941652879,321.787968874,3,1
1.5,29,Faraday dual-port,8.9561131982,0.202941652879,333.280396334,3,1
1.5,30,Faraday dual-port,9.11704688471,0.202941652879,344.772823794,3,1
1.5,31,Faraday dual-port,9.27521340696,0.202941652879,356.265251254,3,1
1.5,32,Faraday dual-port,9.43074981614,0.202941652879,367.757678714,3,1
1.5,33,Faraday dual-port,9.58378227185,0.202941652879,379.250106173,3,1
1.5,34,Faraday dual-port,9.73442721135,0.202941652879,390.742533633,3,1
1.5,35,Faraday dual-port,9.88279236277,0.202941652879,402.234961093,3,1
1.5,36,Faraday dual-port,10.028977627,0.202941652879,413.727388553,3,1
1.5,37,Faraday dual-port,10.1730758482,0.202941652879,425.219816013,3,1
1.5,38,Faraday dual-port,10.3151734902,0.202941652879,436.712243472,3,1
1.5,39,Faraday dual-port,10.4553512314,0.202941652879,448.204670932,3,1
1.5,40,Faraday dual-port,10.593684491,0.202941652879,459.697098392,3,1
1.5,41,Faraday dual-port,10.7302438949,0.202941652879,471.189525852,3,1
1.5,42,Faraday dual-port,10.8650956908,0.202941652879,482.681953312,3,1
1.5,43,Faraday dual-port,10.9983021171,0.202941652879,494.174380771,3,1
1.5,44,Faraday dual-port,11.129921734,0.202941652879,505.666808231,3,1
1.5,45,Faraday dual-port,11.2600097201,0.202941652879,517.159235691,3,1
1.5,46,Faraday dual-port,11.3886181383,0.202941652879,528.651663151,3,1
1.5,47,Faraday dual-port,11.5157961763,0.202941652879,540.144090611,3,1
1.5,48,Faraday dual-port,11.6415903637,0.202941652879,551.63651807,3,1
1.5,49,Faraday dual-port,11.7660447679,0.202941652879,563.12894553,3,1
1.5,50,Faraday dual-port,11.8892011728,0.202941652879,574.62137299,3,1
1.5,51,Faraday dual-port,12.0110992403,0.202941652879,586.11380045,3,1
1.5,52,Faraday dual-port,12.1317766578,0.202941652879,597.60622791,3,1
1.5,53,Faraday dual-port,12.2512692731,0.202941652879,609.098655369,3,1
1.5,54,Faraday dual-port,12.3696112174,0.202941652879,620.591082829,3,1
1.5,55,Faraday dual-port,12.4868350178,0.202941652879,632.083510289,3,1
1.5,56,Faraday dual-port,12.6029717006,0.202941652879,643.575937749,3,1
1.5,57,Faraday dual-port,12.7180508867,0.202941652879,655.068365209,3,1
1.5,58,Faraday dual-port,12.8321008786,0.202941652879,666.560792668,3,1
1.5,59,Faraday dual-port,12.9451487411,0.202941652879,678.053220128,3,1
1.5,60,Faraday dual-port,13.0572203756,0.202941652879,689.545647588,3,1
1.5,61,Faraday dual-port,13.1683405888,0.202941652879,701.038075048,3,1
1.5,62,Faraday dual-port,13.2785331565,0.202941652879,712.530502508,3,1
1.5,63,Faraday dual-port,13.3878208821,0.202941652879,724.022929967,3,1
1.5,64,Faraday dual-port,13.4962256515,0.202941652879,735.515357427,3,1
1.5,65,Faraday dual-port,13.6037684839,0.202941652879,747.007784887,3,1
1.5,66,Faraday dual-port,13.7104695791,0.202941652879,758.500212347,3,1
1.5,67,Faraday dual-port,13.8163483613,0.202941652879,769.992639807,3,1
1.5,68,Faraday dual-port,13.9214235201,0.202941652879,781.485067266,3,1
1.5,69,Faraday dual-port,14.025713049,0.202941652879,792.977494726,3,1
1.5,70,Faraday dual-port,14.1292342807,0.202941652879,804.469922186,3,1
1.5,71,Faraday dual-port,14.2320039209,0.202941652879,815.962349646,3,1
1.5,72,Faraday dual-port,14.3340380795,0.202941652879,827.454777106,3,1
1.5,73,Faraday dual-port,14.4353522998,0.202941652879,838.947204565,3,1
1.5,74,Faraday dual-port,14.5359615857,0.202941652879,850.439632025,3,1
1.5,75,Faraday dual-port,14.6358804283,0.202941652879,861.932059485,3,1
1.5,76,Faraday dual-port,14.7351228292,0.202941652879,873.424486945,3,1
1.5,77,Faraday dual-port,14.8337023239,0.202941652879,884.916914405,3,1
1.5,78,Faraday dual-port,14.931632003,0.202941652879,896.409341864,3,1
1.5,79,Faraday dual-port,15.0289245323,0.202941652879,907.901769324,3,1
1.5,80,Faraday dual-port,15.1255921719,0.202941652879,919.394196784,3,1
1.5,81,Faraday dual-port,15.2216467943,0.202941652879,930.886624244,3,1
1.5,82,Faraday dual-port,15.3170999011,0.202941652879,942.379051704,3,1
1.5,83,Faraday dual-port,15.4119626392,0.202941652879,953.871479163,3,1
1.5,84,Faraday dual-port,15.5062458156,0.202941652879,965.363906623,3,1
1.5,85,Faraday dual-port,15.5999599122,0.202941652879,976.856334083,3,1
1.5,86,Faraday dual-port,15.6931150988,0.202941652879,988.348761543,3,1
1.5,87,Faraday dual-port,15.7857212463,0.202941652879,999.841189003,3,1
1.5,88,Faraday dual-port,15.8777879387,0.202941652879,1011.33361646,3,1
1.5,89,Faraday dual-port,15.9693244847,0.202941652879,1022.82604392,3,1
1.5,90,Faraday dual-port,16.0603399285,0.202941652879,1034.31847138,3,1
1.5,91,Faraday dual-port,16.1508430604,0.202941652879,1045.81089884,3,1
1.5,92,Faraday dual-port,16.2408424265,0.202941652879,1057.3033263,3,1
1.5,93,Faraday dual-port,16.3303463381,0.202941652879,1068.79575376,3,1
1.5,94,Faraday dual-port,16.4193628807,0.202941652879,1080.28818122,3,1
1.5,95,Faraday dual-port,16.5078999224,0.202941652879,1091.78060868,3,1
1.5,96,Faraday dual-port,16.5959651222,0.202941652879,1103.27303614,3,1
1.5,97,Faraday dual-port,16.6835659372,0.202941652879,1114.7654636,3,1
1.5,98,Faraday dual-port,16.7707096306,0.202941652879,1126.25789106,3,1
1.5,99,Faraday dual-port,16.8574032783,0.202941652879,1137.75031852,3,1
1.5,100,Faraday dual-port,16.9436537756,0.202941652879,1149.24274598,3,1
1.5,101,Faraday dual-port,17.0294678437,0.202941652879,1160.73517344,3,1
1.5,102,Faraday dual-port,17.1148520356,0.202941652879,1172.2276009,3,1
1.5,103,Faraday dual-port,17.1998127424,0.202941652879,1183.72002836,3,1
1.5,104,Faraday dual-port,17.284356198,0.202941652879,1195.21245582,3,1
1.5,105,Faraday dual-port,17.3684884855,0.202941652879,1206.70488328,3,1
1.5,106,Faraday dual-port,17.4522155413,0.202941652879,1218.19731074,3,1
1.5,107,Faraday dual-port,17.5355431607,0.202941652879,1229.6897382,3,1
1.5,108,Faraday dual-port,17.618477002,0.202941652879,1241.18216566,3,1
1.5,109,Faraday dual-port,17.7010225916,0.202941652879,1252.67459312,3,1
1.5,110,Faraday dual-port,17.7831853276,0.202941652879,1264.16702058,3,1
1.5,111,Faraday dual-port,17.8649704844,0.202941652879,1275.65944804,3,1
1.5,112,Faraday dual-port,17.9463832164,0.202941652879,1287.1518755,3,1
1.5,113,Faraday dual-port,18.027428562,0.202941652879,1298.64430296,3,1
1.5,114,Faraday dual-port,18.108111447,0.202941652879,1310.13673042,3,1
1.5,115,Faraday dual-port,18.188436688,0.202941652879,1321.62915788,3,1
1.5,116,Faraday dual-port,18.2684089963,0.202941652879,1333.12158534,3,1
1.5,117,Faraday dual-port,18.3480329804,0.202941652879,1344.6140128,3,1
1.5,118,Faraday dual-port,18.4273131496,0.202941652879,1356.10644026,3,1
1.5,119,Faraday dual-port,18.5062539167,0.202941652879,1367.59886772,3,1
1.5,120,Faraday dual-port,18.584859601,0.202941652879,1379.09129518,3,1
1.5,121,Faraday dual-port,18.6631344311,0.202941652879,1390.58372264,3,1
1.5,122,Faraday dual-port,18.7410825473,0.202941652879,1402.0761501,3,1
1.5,123,Faraday dual-port,18.8187080044,0.202941652879,1413.56857756,3,1
1.5,124,Faraday dual-port,18.896014774,0.202941652879,1425.06100502,3,1
1.5,125,Faraday dual-port,18.9730067471,0.202941652879,1436.55343247,3,1
1.5,126,Faraday dual-port,19.0496877359,0.202941652879,1448.04585993,3,1
1.5,127,Faraday dual-port,19.1260614766,0.202941652879,1459.53828739,3,1
1.5,128,Faraday dual-port,19.2021316311,0.202941652879,1471.03071485,3,1
1.5,129,Faraday dual-port,19.2779017892,0.202941652879,1482.52314231,3,1
1.5,130,Faraday dual-port,19.3533754704,0.202941652879,1494.01556977,3,1
1.5,131,Faraday dual-port,19.4285561262,0.202941652879,1505.50799723,3,1
1.5,132,Faraday dual-port,19.5034471416,0.202941652879,1517.00042469,3,1
1.5,133,Faraday dual-port,19.5780518367,0.202941652879,1528.49285215,3,1
1.5,134,Faraday dual-port,19.6523734691,0.202941652879,1539.98527961,3,1
1.5,135,Faraday dual-port,19.7264152348,0.202941652879,1551.47770707,3,1
1.5,136,Faraday dual-port,19.8001802703,0.202941652879,1562.97013453,3,1
1.5,137,Faraday dual-port,19.8736716539,0.202941652879,1574.46256199,3,1
1.5,138,Faraday dual-port,19.9468924073,0.202941652879,1585.95498945,3,1
1.5,139,Faraday dual-port,20.019845497,0.202941652879,1597.44741691,3,1
1.5,140,Faraday dual-port,20.0925338358,0.202941652879,1608.93984437,3,1
1.5,141,Faraday dual-port,20.164960284,0.202941652879,1620.43227183,3,1
1.5,142,Faraday dual-port,20.2371276508,0.202941652879,1631.92469929,3,1
1.5,143,Faraday dual-port,20.3090386955,0.202941652879,1643.41712675,3,1
1.5,144,Faraday dual-port,20.380696129,0.202941652879,1654.90955421,3,1
1.5,145,Faraday dual-port,20.4521026144,0.202941652879,1666.40198167,3,1
1.5,146,Faraday dual-port,20.5232607689,0.202941652879,1677.89440913,3,1
1.5,147,Faraday dual-port,20.5941731644,0.202941652879,1689.38683659,3,1
1.5,148,Faraday dual-port,20.6648423286,0.202941652879,1700.87926405,3,1
1.5,149,Faraday dual-port,20.7352707464,0.202941652879,1712.37169151,3,1
1.5,150,Faraday dual-port,20.8054608606,0.202941652879,1723.86411897,3,1
1.5,151,Faraday dual-port,20.8754150729,0.202941652879,1735.35654643,3,1
1.5,152,Faraday dual-port,20.945135745,0.202941652879,1746.84897389,3,1
1.5,153,Faraday dual-port,21.0146251996,0.202941652879,1758.34140135,3,1
1.5,154,Faraday dual-port,21.083885721,0.202941652879,1769.83382881,3,1
1.5,155,Faraday dual-port,21.1529195562,0.202941652879,1781.32625627,3,1
1.5,156,Faraday dual-port,21.2217289156,0.202941652879,1792.81868373,3,1
1.5,157,Faraday dual-port,21.2903159742,0.202941652879,1804.31111119,3,1
1.5,158,Faraday dual-port,21.3586828718,0.202941652879,1815.80353865,3,1
1.5,159,Faraday dual-port,21.4268317143,0.202941652879,1827.29596611,3,1
1.5,160,Faraday dual-port,21.4947645741,0.202941652879,1838.78839357,3,1
1.5,161,Faraday dual-port,21.5624834912,0.202941652879,1850.28082103,3,1
1.5,162,Faraday dual-port,21.6299904734,0.202941652879,1861.77324849,3,1
1.5,163,Faraday dual-port,21.6972874977,0.202941652879,1873.26567595,3,1
1.5,164,Faraday dual-port,21.7643765101,0.202941652879,1884.75810341,3,1
1.5,165,Faraday dual-port,21.8312594272,0.202941652879,1896.25053087,3,1
1.5,166,Faraday dual-port,21.8979381359,0.202941652879,1907.74295833,3,1
1.5,167,Faraday dual-port,21.9644144949,0.202941652879,1919.23538579,3,1
1.5,168,Faraday dual-port,22.0306903346,0.202941652879,1930.72781325,3,1
1.5,169,Faraday dual-port,22.0967674582,0.202941652879,1942.22024071,3,1
1.5,170,Faraday dual-port,22.1626476418,0.202941652879,1953.71266817,3,1
1.5,171,Faraday dual-port,22.2283326353,0.202941652879,1965.20509563,3,1
1.5,172,Faraday dual-port,22.293824163,0.202941652879,1976.69752309,3,1
1.5,173,Faraday dual-port,22.3591239238,0.202941652879,1988.18995055,3,1
1.5,174,Faraday dual-port,22.424233592,0.202941652879,1999.68237801,3,1
1.5,175,Faraday dual-port,22.4891548174,0.202941652879,2011.17480546,3,1
1.5,176,Faraday dual-port,22.5538892265,0.202941652879,2022.66723292,3,1
1.5,177,Faraday dual-port,22.6184384223,0.202941652879,2034.15966038,3,1
1.5,178,Faraday dual-port,22.6828039851,0.202941652879,2045.65208784,3,1
1.5,179,Faraday dual-port,22.7469874726,0.202941652879,2057.1445153,3,1
1.5,180,Faraday dual-port,22.810990421,0.202941652879,2068.63694276,3,1
