position_m,position_um,column_density_y_line_cm2,column_density_z_line_cm2
-1.26953125e-06,-1.26953125,53548738340,7759606204.67
-1.171875e-06,-1.171875,53579917105.8,12711904479.4
-1.07421875e-06,-1.07421875,53608606912.7,17935729626.3
-9.765625e-07,-0.9765625,53634806424.4,23202068843.7
-8.7890625e-07,-0.87890625,53658514421.1,28341278487.9
-7.8125e-07,-0.78125,53679729799.2,33221334507.7
-6.8359375e-07,-0.68359375,53698451571.9,37736783746.4
-5.859375e-07,-0.5859375,53714678868.4,41802393807.6
-4.8828125e-07,-0.48828125,53728410934.2,45349198553.8
-3.90625e-07,-0.390625,53739647131.1,48321900974.6
-2.9296875e-07,-0.29296875,53748386936.7,50677110673.9
-1.953125e-07,-0.1953125,53754629945.1,52382131333.2
-9.765625e-08,-0.09765625,53758375866.1,53414134681
0,0,53759624525.8,53759624525.8
9.765625e-08,0.09765625,53758375866.1,53414134681
1.953125e-07,0.1953125,53754629945.1,52382131333.2
2.9296875e-07,0.29296875,53748386936.7,50677110673.9
3.90625e-07,0.390625,53739647131.1,48321900974.6
4.8828125e-07,0.48828125,53728410934.2,45349198553.8
5.859375e-07,0.5859375,53714678868.4,41802393807.6
6.8359375e-07,0.68359375,53698451571.9,37736783746.4
7.8125e-07,0.78125,53679729799.2,33221334507.7
8.7890625e-07,0.87890625,53658514421.1,28341278487.9
9.765625e-07,0.9765625,53634806424.4,23202068843.7
1.07421875e-06,1.07421875,53608606912.7,17935729626.3
1.171875e-06,1.171875,53579917105.8,12711904479.4
1.26953125e-06,1.26953125,53548738340,7759606204.67
1.3671875e-06,1.3671875,53515072068.5,3419988290.71
1.46484375e-06,1.46484375,53478919861.1,351702334.62
1.5625e-06,1.5625,53440283404.5,0
1.66015625e-06,1.66015625,53399164502.6,0
1.7578125e-06,1.7578125,53355565076.1,0
1.85546875e-06,1.85546875,53309487163.5,0
1.953125e-06,1.953125,53260932920.5,0
2.05078125e-06,2.05078125,53209904620.3,0
2.1484375e-06,2.1484375,53156404654.3,0
2.24609375e-06,2.24609375,53100435531.7,0
2.34375e-06,2.34375,53041999879.8,0
2.44140625e-06,2.44140625,52981100444.7,0
2.5390625e-06,2.5390625,52917740090.7,0
2.63671875e-06,2.63671875,52851921801.3,0
2.734375e-06,2.734375,52783648678.9,0
2.83203125e-06,2.83203125,52712923945.3,0
2.9296875e-06,2.9296875,52639750942.1,0
3.02734375e-06,3.02734375,52564133130.4,0
3.125e-06,3.125,52486074091.8,0
3.22265625e-06,3.22265625,52405577528.2,0
3.3203125e-06,3.3203125,52322647262.2,0
3.41796875e-06,3.41796875,52237287237.5,0
3.515625e-06,3.515625,52149501519.2,0
3.61328125e-06,3.61328125,52059294294,0
3.7109375e-06,3.7109375,51966669870.9,0
3.80859375e-06,3.80859375,51871632680.9,0
3.90625e-06,3.90625,51774187278,0
4.00390625e-06,4.00390625,51674338339.5,0
4.1015625e-06,4.1015625,51572090665.7,0
4.19921875e-06,4.19921875,51467449181.5,0
4.296875e-06,4.296875,51360418935.5,0
4.39453125e-06,4.39453125,51251005101.4,0
4.4921875e-06,4.4921875,51139212978,0
4.58984375e-06,4.58984375,51025047989.8,0
4.6875e-06,4.6875,50908515687.2,0
4.78515625e-06,4.78515625,50789621747.4,0
4.8828125e-06,4.8828125,50668371974.5,0
4.98046875e-06,4.98046875,50544772300.1,0
5.078125e-06,5.078125,50418828784,0
5.17578125e-06,5.17578125,50290547614.3,0
5.2734375e-06,5.2734375,50159935108.6,0
5.37109375e-06,5.37109375,50026997713.8,0
5.46875e-06,5.46875,49891742007.2,0
5.56640625e-06,5.56640625,49754174696.8,0
5.6640625e-06,5.6640625,49614302622.1,0
5.76171875e-06,5.76171875,49472132754.4,0
5.859375e-06,5.859375,49327672197.9,0
5.95703125e-06,5.95703125,49180928189.8,0
6.0546875e-06,6.0546875,49031908101.3,0
6.15234375e-06,6.15234375,48880619438.1,0
6.25e-06,6.25,48727069841.3,0
6.34765625e-06,6.34765625,48571267087.8,0
6.4453125e-06,6.4453125,48413219091.2,0
6.54296875e-06,6.54296875,48252933902.4,0
6.640625e-06,6.640625,48090419710.8,0
6.73828125e-06,6.73828125,47925684844.2,0
6.8359375e-06,6.8359375,47758737770.5,0
6.93359375e-06,6.93359375,47589587097.8,0
7.03125e-06,7.03125,47418241575.8,0
7.12890625e-06,7.12890625,47244710096.1,0
7.2265625e-06,7.2265625,47069001693.4,0
7.32421875e-06,7.32421875,46891125546.3,0
7.421875e-06,7.421875,46711090978.2,0
7.51953125e-06,7.51953125,46528907458.1,0
7.6171875e-06,7.6171875,46344584601.8,0
7.71484375e-06,7.71484375,46158132172.4,0
7.8125e-06,7.8125,45969560082,0
7.91015625e-06,7.91015625,45778878391.8,0
8.0078125e-06,8.0078125,45586097313.9,0
8.10546875e-06,8.10546875,45391227212.1,0
8.203125e-06,8.203125,45194278602.6,0
