position_m,position_um,density_x_across_cm3,density_y_along_cm3,density_z_across_cm3
-7.37048991447e-06,-7.37048991447,0,3.10029915283e+14,0
-7.18389523309e-06,-7.18389523309,0,3.11529246191e+14,0
-6.99730055171e-06,-6.99730055171,0,3.12990132718e+14,0
-6.81070587033e-06,-6.81070587033,0,3.14412574862e+14,0
-6.62411118895e-06,-6.62411118895,0,3.15796572624e+14,0
-6.43751650757e-06,-6.43751650757,0,3.17142126003e+14,0
-6.25092182619e-06,-6.25092182619,0,3.18449235e+14,0
-6.06432714482e-06,-6.06432714482,0,3.19717899615e+14,0
-5.87773246344e-06,-5.87773246344,0,3.20948119848e+14,0
-5.69113778206e-06,-5.69113778206,0,3.22139895698e+14,0
-5.50454310068e-06,-5.50454310068,0,3.23293227167e+14,0
-5.3179484193e-06,-5.3179484193,0,3.24408114252e+14,0
-5.13135373792e-06,-5.13135373792,0,3.25484556956e+14,0
-4.94475905654e-06,-4.94475905654,0,3.26522555277e+14,0
-4.75816437516e-06,-4.75816437516,0,3.27522109216e+14,0
-4.57156969378e-06,-4.57156969378,0,3.28483218773e+14,0
-4.3849750124e-06,-4.3849750124,0,3.29405883948e+14,0
-4.19838033103e-06,-4.19838033103,0,3.3029010474e+14,0
-4.01178564965e-06,-4.01178564965,0,3.3113588115e+14,0
-3.82519096827e-06,-3.82519096827,0,3.31943213178e+14,0
-3.63859628689e-06,-3.63859628689,0,3.32712100823e+14,0
-3.45200160551e-06,-3.45200160551,0,3.33442544086e+14,0
-3.26540692413e-06,-3.26540692413,0,3.34134542967e+14,0
-3.07881224275e-06,-3.07881224275,0,3.34788097466e+14,0
-2.89221756137e-06,-2.89221756137,0,3.35403207582e+14,0
-2.70562287999e-06,-2.70562287999,0,3.35979873316e+14,0
-2.51902819862e-06,-2.51902819862,0,3.36518094668e+14,0
-2.33243351724e-06,-2.33243351724,0,3.37017871638e+14,0
-2.14583883586e-06,-2.14583883586,0,3.37479204225e+14,0
-1.95924415448e-06,-1.95924415448,0,3.3790209243e+14,0
-1.7726494731e-06,-1.7726494731,0,3.38286536253e+14,0
-1.58605479172e-06,-1.58605479172,0,3.38632535693e+14,0
-1.39946011034e-06,-1.39946011034,0,3.38940090751e+14,4.05321230848e+13
-1.21286542896e-06,-1.21286542896,0,3.39209201427e+14,1.15071661269e+14
-1.02627074758e-06,-1.02627074758,8.53339508575e+13,3.39439867721e+14,1.78962693998e+14
-8.39676066205e-07,-0.839676066205,1.69528128757e+14,3.39632089632e+14,2.32205221272e+14
-6.53081384826e-07,-0.653081384826,2.36883471076e+14,3.39785867161e+14,2.74799243092e+14
-4.66486703447e-07,-0.466486703447,2.87399977816e+14,3.39901200308e+14,3.06744759456e+14
-2.79892022068e-07,-0.279892022068,3.21077648975e+14,3.39978089072e+14,3.28041770366e+14
-9.32973406895e-08,-0.0932973406895,3.37916484555e+14,3.40016533455e+14,3.38690275821e+14
9.32973406895e-08,0.0932973406895,3.37916484555e+14,3.40016533455e+14,3.38690275821e+14
2.79892022068e-07,0.279892022068,3.21077648975e+14,3.39978089072e+14,3.28041770366e+14
4.66486703447e-07,0.466486703447,2.87399977816e+14,3.39901200308e+14,3.06744759456e+14
6.53081384826e-07,0.653081384826,2.36883471076e+14,3.39785867161e+14,2.74799243092e+14
8.39676066205e-07,0.839676066205,1.69528128757e+14,3.39632089632e+14,2.32205221272e+14
1.02627074758e-06,1.02627074758,8.53339508575e+13,3.39439867721e+14,1.78962693998e+14
1.21286542896e-06,1.21286542896,0,3.39209201427e+14,1.15071661269e+14
1.39946011034e-06,1.39946011034,0,3.38940090751e+14,4.05321230848e+13
1.58605479172e-06,1.58605479172,0,3.38632535693e+14,0
1.7726494731e-06,1.7726494731,0,3.38286536253e+14,0
1.95924415448e-06,1.95924415448,0,3.3790209243e+14,0
2.14583883586e-06,2.14583883586,0,3.37479204225e+14,0
2.33243351724e-06,2.33243351724,0,3.37017871638e+14,0
2.51902819862e-06,2.51902819862,0,3.36518094668e+14,0
2.70562287999e-06,2.70562287999,0,3.35979873316e+14,0
2.89221756137e-06,2.89221756137,0,3.35403207582e+14,0
3.07881224275e-06,3.07881224275,0,3.34788097466e+14,0
3.26540692413e-06,3.26540692413,0,3.34134542967e+14,0
3.45200160551e-06,3.45200160551,0,3.33442544086e+14,0
3.63859628689e-06,3.63859628689,0,3.32712100823e+14,0
3.82519096827e-06,3.82519096827,0,3.31943213178e+14,0
4.01178564965e-06,4.01178564965,0,3.3113588115e+14,0
4.19838033103e-06,4.19838033103,0,3.3029010474e+14,0
4.3849750124e-06,4.3849750124,0,3.29405883948e+14,0
4.57156969378e-06,4.57156969378,0,3.28483218773e+14,0
4.75816437516e-06,4.75816437516,0,3.27522109216e+14,0
4.94475905654e-06,4.94475905654,0,3.26522555277e+14,0
5.13135373792e-06,5.13135373792,0,3.25484556956e+14,0
5.3179484193e-06,5.3179484193,0,3.24408114252e+14,0
5.50454310068e-06,5.50454310068,0,3.23293227167e+14,0
5.69113778206e-06,5.69113778206,0,3.22139895698e+14,0
5.87773246344e-06,5.87773246344,0,3.20948119848e+14,0
6.06432714482e-06,6.06432714482,0,3.19717899615e+14,0
6.25092182619e-06,6.25092182619,0,3.18449235e+14,0
6.43751650757e-06,6.43751650757,0,3.17142126003e+14,0
6.62411118895e-06,6.62411118895,0,3.15796572624e+14,0
6.81070587033e-06,6.81070587033,0,3.14412574862e+14,0
6.99730055171e-06,6.99730055171,0,3.12990132718e+14,0
7.18389523309e-06,7.18389523309,0,3.11529246191e+14,0
7.37048991447e-06,7.37048991447,0,3.10029915283e+14,0
7.55708459585e-06,7.55708459585,0,3.08492139992e+14,0
7.74367927723e-06,7.74367927723,0,3.06915920319e+14,0
7.9302739586e-06,7.9302739586,0,3.05301256263e+14,0
8.11686863998e-06,8.11686863998,0,3.03648147826e+14,0
8.30346332136e-06,8.30346332136,0,3.01956595006e+14,0
8.49005800274e-06,8.49005800274,0,3.00226597804e+14,0
8.67665268412e-06,8.67665268412,0,2.98458156219e+14,0
8.8632473655e-06,8.8632473655,0,2.96651270252e+14,0
9.04984204688e-06,9.04984204688,0,2.94805939903e+14,0
9.23643672826e-06,9.23643672826,0,2.92922165172e+14,0
9.42303140964e-06,9.42303140964,0,2.90999946058e+14,0
9.60962609101e-06,9.60962609101,0,2.89039282562e+14,0
9.79622077239e-06,9.79622077239,0,2.87040174684e+14,0
9.98281545377e-06,9.98281545377,0,2.85002622424e+14,0
1.01694101352e-05,10.1694101352,0,2.82926625781e+14,0
