position_um,profile_transverse_a,profile_transverse_b,column_density_transverse_a_cm2,column_density_transverse_b_cm2
24.12109375,0.0130056453172,0,699178608.967,0
24.21875,0.0103978290008,0,558983382.964,0
24.31640625,0.00798293312428,0,429159487.376,0
24.4140625,0.00578247275603,0,310863564.195,0
24.51171875,0.00382512901819,0,205637499.781,0
24.609375,0.00215226960868,0,115705206.041,0
24.70703125,0.000832577919231,0,44759076.3263,0
24.8046875,3.15978431009e-05,0,1698688.18093,0
24.90234375,0,0,0,0
25,0,0,0,0
25.09765625,0,0,0,0
25.1953125,0,0,0,0
25.29296875,0,0,0,0
25.390625,0,0,0,0
25.48828125,0,0,0,0
25.5859375,0,0,0,0
25.68359375,0,0,0,0
25.78125,0,0,0,0
25.87890625,0,0,0,0
25.9765625,0,0,0,0
26.07421875,0,0,0,0
26.171875,0,0,0,0
26.26953125,0,0,0,0
26.3671875,0,0,0,0
26.46484375,0,0,0,0
26.5625,0,0,0,0
26.66015625,0,0,0,0
26.7578125,0,0,0,0
26.85546875,0,0,0,0
26.953125,0,0,0,0
27.05078125,0,0,0,0
27.1484375,0,0,0,0
27.24609375,0,0,0,0
27.34375,0,0,0,0
27.44140625,0,0,0,0
27.5390625,0,0,0,0
27.63671875,0,0,0,0
27.734375,0,0,0,0
27.83203125,0,0,0,0
27.9296875,0,0,0,0
28.02734375,0,0,0,0
28.125,0,0,0,0
28.22265625,0,0,0,0
28.3203125,0,0,0,0
28.41796875,0,0,0,0
28.515625,0,0,0,0
28.61328125,0,0,0,0
28.7109375,0,0,0,0
28.80859375,0,0,0,0
28.90625,0,0,0,0
29.00390625,0,0,0,0
29.1015625,0,0,0,0
29.19921875,0,0,0,0
29.296875,0,0,0,0
29.39453125,0,0,0,0
29.4921875,0,0,0,0
29.58984375,0,0,0,0
29.6875,0,0,0,0
29.78515625,0,0,0,0
29.8828125,0,0,0,0
29.98046875,0,0,0,0
30.078125,0,0,0,0
30.17578125,0,0,0,0
30.2734375,0,0,0,0
30.37109375,0,0,0,0
30.46875,0,0,0,0
30.56640625,0,0,0,0
30.6640625,0,0,0,0
30.76171875,0,0,0,0
30.859375,0,0,0,0
30.95703125,0,0,0,0
31.0546875,0,0,0,0
31.15234375,0,0,0,0
31.25,0,0,0,0
31.34765625,0,0,0,0
31.4453125,0,0,0,0
31.54296875,0,0,0,0
31.640625,0,0,0,0
31.73828125,0,0,0,0
31.8359375,0,0,0,0
31.93359375,0,0,0,0
32.03125,0,0,0,0
32.12890625,0,0,0,0
32.2265625,0,0,0,0
32.32421875,0,0,0,0
32.421875,0,0,0,0
32.51953125,0,0,0,0
32.6171875,0,0,0,0
32.71484375,0,0,0,0
32.8125,0,0,0,0
32.91015625,0,0,0,0
33.0078125,0,0,0,0
33.10546875,0,0,0,0
33.203125,0,0,0,0
33.30078125,0,0,0,0
33.3984375,0,0,0,0
33.49609375,0,0,0,0
33.59375,0,0,0,0
33.69140625,0,0,0,0
33.7890625,0,0,0,0
33.88671875,0,0,0,0
33.984375,0,0,0,0
34.08203125,0,0,0,0
34.1796875,0,0,0,0
34.27734375,0,0,0,0
34.375,0,0,0,0
34.47265625,0,0,0,0
34.5703125,0,0,0,0
34.66796875,0,0,0,0
34.765625,0,0,0,0
34.86328125,0,0,0,0
34.9609375,0,0,0,0
35.05859375,0,0,0,0
35.15625,0,0,0,0
35.25390625,0,0,0,0
35.3515625,0,0,0,0
35.44921875,0,0,0,0
35.546875,0,0,0,0
35.64453125,0,0,0,0
35.7421875,0,0,0,0
35.83984375,0,0,0,0
35.9375,0,0,0,0
36.03515625,0,0,0,0
36.1328125,0,0,0,0
36.23046875,0,0,0,0
36.328125,0,0,0,0
36.42578125,0,0,0,0
36.5234375,0,0,0,0
36.62109375,0,0,0,0
36.71875,0,0,0,0
36.81640625,0,0,0,0
36.9140625,0,0,0,0
37.01171875,0,0,0,0
37.109375,0,0,0,0
37.20703125,0,0,0,0
37.3046875,0,0,0,0
37.40234375,0,0,0,0
37.5,0,0,0,0
37.59765625,0,0,0,0
37.6953125,0,0,0,0
37.79296875,0,0,0,0
37.890625,0,0,0,0
37.98828125,0,0,0,0
38.0859375,0,0,0,0
38.18359375,0,0,0,0
38.28125,0,0,0,0
38.37890625,0,0,0,0
38.4765625,0,0,0,0
38.57421875,0,0,0,0
38.671875,0,0,0,0
38.76953125,0,0,0,0
38.8671875,0,0,0,0
38.96484375,0,0,0,0
39.0625,0,0,0,0
39.16015625,0,0,0,0
39.2578125,0,0,0,0
39.35546875,0,0,0,0
39.453125,0,0,0,0
39.55078125,0,0,0,0
39.6484375,0,0,0,0
39.74609375,0,0,0,0
39.84375,0,0,0,0
39.94140625,0,0,0,0
40.0390625,0,0,0,0
40.13671875,0,0,0,0
40.234375,0,0,0,0
40.33203125,0,0,0,0
40.4296875,0,0,0,0
40.52734375,0,0,0,0
40.625,0,0,0,0
40.72265625,0,0,0,0
40.8203125,0,0,0,0
40.91796875,0,0,0,0
41.015625,0,0,0,0
41.11328125,0,0,0,0
41.2109375,0,0,0,0
41.30859375,0,0,0,0
41.40625,0,0,0,0
41.50390625,0,0,0,0
41.6015625,0,0,0,0
41.69921875,0,0,0,0
41.796875,0,0,0,0
41.89453125,0,0,0,0
41.9921875,0,0,0,0
42.08984375,0,0,0,0
42.1875,0,0,0,0
42.28515625,0,0,0,0
42.3828125,0,0,0,0
42.48046875,0,0,0,0
42.578125,0,0,0,0
42.67578125,0,0,0,0
42.7734375,0,0,0,0
42.87109375,0,0,0,0
42.96875,0,0,0,0
43.06640625,0,0,0,0
43.1640625,0,0,0,0
43.26171875,0,0,0,0
43.359375,0,0,0,0
43.45703125,0,0,0,0
43.5546875,0,0,0,0
43.65234375,0,0,0,0
43.75,0,0,0,0
43.84765625,0,0,0,0
43.9453125,0,0,0,0
44.04296875,0,0,0,0
44.140625,0,0,0,0
44.23828125,0,0,0,0
44.3359375,0,0,0,0
44.43359375,0,0,0,0
44.53125,0,0,0,0
44.62890625,0,0,0,0
44.7265625,0,0,0,0
44.82421875,0,0,0,0
44.921875,0,0,0,0
45.01953125,0,0,0,0
45.1171875,0,0,0,0
45.21484375,0,0,0,0
45.3125,0,0,0,0
